,title,genre,year,date,rating,vote_count,plot,main_act,supp_act,page_url,img_url
273,랜드,드라마,2021,3.17,8.78,37,불의의 사고로 가족을 잃고 정상적인 일상 생활이 어려워진   광활하고 거친 산속에서 다시 홀로서기 위한 여정을 시작하는 이야기,로빈 라이트,데미안 비쉬어|킴 디킨스|사라 던 플레지|워렌 크리스티|브래드 르랜드,https://movie.naver.com/movie/bi/mi/basic.naver?code=201219,https://movie-phinf.pstatic.net/20210224_126/1614147665518jKpE0_JPEG/movie_image.jpg?type=m77_110_2
274,램,스릴러|공포,2021,12.29,6.44,348,눈 폭풍이 휘몰아치던 크리스마스 날 밤 이후 양 목장에서 태어난 신비한 아이를 선물 받은   부부에게 닥친 예측할 수 없는   호러,누미 라파스|힐미르 스나에르 구오나손|비욘 흘리뉘르 하랄드손,,https://movie.naver.com/movie/bi/mi/basic.naver?code=205625,https://movie-phinf.pstatic.net/20211208_179/1638926915510z17tM_JPEG/movie_image.jpg?type=m77_110_2
275,"러브 어페어 : 우리가 말하는 것, 우리가 하는 것",드라마|멜로/로맨스,2021,11.11,7.74,42,소설가를 꿈꾸는 막심은 시골 별장에서 휴가를 보내고 있는 사촌 형의 여자친구 다프네에게 자신의 복잡한 연애 이야기를 들려준다. 한편 막심의 이야기를 듣던 다프네 역시 남몰래 간직했던 자신의 연애담을 슬그머니 꺼내는데...,카멜리아 조다나|니엘스 슈나이더|빈센트 맥케인|에밀리 드켄|귀욤 고익스|멜리사 홀트,,https://movie.naver.com/movie/bi/mi/basic.naver?code=194823,https://movie-phinf.pstatic.net/20211026_79/1635212161547e0Aw2_JPEG/movie_image.jpg?type=m77_110_2
276,레 미제라블,드라마,2021,4.15,7.61,88,"  나쁜 풀도, 나쁜 사람도 없소. 다만 나쁜 농부가 있을 뿐이오.” - <  빅토르 위고 지방에서 전근 온 경감 스테판은 크리스, 그와다와 같은 순찰팀에 배정받는다. 증오와 불신이 난무하는 몽페르메유에서 스테판은 경찰들의 폭력에 충격을 받고 서커스단 아기 사자 도난사건을 해결하려다 예기치 못한 사건까지 발생하는데…     끝나지 않은 분노의 노래!",다미엔 보나드|알렉시스 마넨티|제브릴 종가|잔느 발리바|이사 페리카,,https://movie.naver.com/movie/bi/mi/basic.naver?code=185276,https://movie-phinf.pstatic.net/20210319_138/1616118818272Mhfai_JPEG/movie_image.jpg?type=m77_110_2
277,레드,드라마|멜로/로맨스,2021,4.06,7.4,5,"토코는 상류층 집안의 남편 그리고 귀여운 딸과 함께 남부럽지 않은 삶을 사는 것처럼 보인다. 그러던 어느 날 1 년 만에 옛 애인인 건축가 구라타와 우연히 재회를 하고, 마음속 깊이 간직했던 복잡한 감정이 조금씩 되살아나며 무미건조했던 그녀의 일상에는 큰 변화가 찾아온다.",카호|츠마부키 사토시,,https://movie.naver.com/movie/bi/mi/basic.naver?code=194076,https://movie-phinf.pstatic.net/20210318_48/1616033170027MhKlM_JPEG/movie_image.jpg?type=m77_110_2
278,레드 아워,액션|스릴러,2021,9.23,2.0,3,아동보호국에서 근무하는 카일은 아프가니스탄 파병지에서 동료를 잃었던 끔찍한 기억으로 힘든 나날을 보낸다. 직장 동료와 맥시코 출신 미아 매니와 함께 계부이자 하원의원인 샘이 운영하는 넬슨 매장에 잠시 들렀던 카일은 매장 직원들 및 다른 고객들과 함께 자살폭탄 테러범의 인질이 된다. 카일은 다른 인질들을 구하기 위해 테러범과 목숨을 건 싸움 끝에 테러범들을 제압하고 인질들과 함께 폭파 직전에 매장에서 탈출해야만 하는데...,타이레스 깁슨|존 말코비치,,https://movie.naver.com/movie/bi/mi/basic.naver?code=209085,https://movie-phinf.pstatic.net/20210923_101/1632377012095mnKGS_JPEG/movie_image.jpg?type=m77_110_2
279,레미니센스,SF|미스터리|멜로/로맨스,2021,8.25,7.0,444,"해수면의 상승으로 도시의 절반이 바다에 잠긴 가까운 미래. 사람들의 머릿속을 엿보는 탐정 닉은 고객들이 잃어버린 기억에 다가가게 도와주며 위험하지만 매혹적인 세계인 과거 속을 항해한다. 단조롭던 닉의 인생은 잃어버린 귀걸이를 찾으려는 새로운 고객 메이의 등장으로 영원히 바뀌게 된다. 닉은 메이와 운명처럼 사랑에 빠지지만, 어느 날 메이는 흔적도 없이 사라져 버린다. 메이의 실종에 대한 진실을 찾고자 분투하던 닉은 숨겨진 잔혹한 음모를 밝혀내고, 결국 이 질문에 대해 대답을 해야만 하는데    이를 곁에 두기 위해, 당신은 무엇까지 할 수 있는가 ",휴 잭맨|레베카 퍼거슨|탠디 뉴튼,안젤라 사라피언|나탈리 마르티네즈|클리프 커티스,https://movie.naver.com/movie/bi/mi/basic.naver?code=193966,https://movie-phinf.pstatic.net/20210804_250/1628065435107dcu90_JPEG/movie_image.jpg?type=m77_110_2
280,레일로드 워,액션|코미디,2021,6.3,3.69,32,"작업반장   함께 일하는 철도 노동자들과 항일 게릴라군   결성해 활동 중이다. 어느 날 대원들은 부상당한 팔로군 병사   숨겨주고 그들이 완수하지 못한 항일 작전에 대해 듣게 된다. 평생에 한번 큰일을 해내고 싶었던   대원들은 팔로군의 임무를 대신 수행하리라 결심하는데… 자, 드디어 큰일 한번 해보자!   대담한 전쟁이 시작된다!",성룡|쉬판|타오|왕카이|왕대륙,,https://movie.naver.com/movie/bi/mi/basic.naver?code=144254,https://movie-phinf.pstatic.net/20210708_181/1625734344479m3cAE_JPEG/movie_image.jpg?type=m77_110_2
281,레지스탕스,드라마,2021,9.09,7.8,5,"나치 점령 국가에서 자란 젊은 청년 마르셀은 찰리 채플린과 같이 전설의 마임 배우를 꿈꾸며 연극, 그림 그리기 등 다양한 예술 활동에 매진한다. 그러나 세계   대전이 발발하고 프랑스가 연합국으로 참전하자, 마르셀 역시 프랑스 저항군   포섭이 된다. 그리고 그곳에서 마르셀은 잠시 꿈을 뒤로하며, 평소 뛰어난 언변과 연기력 등을 이용해 홀로코스트로 고통받는 수 천명의 아이들을 구출해내는 비밀 작전을 수행하게 된다.",제시 아이젠버그|클레멘스 포시|마치아스 슈와바이어퍼,,https://movie.naver.com/movie/bi/mi/basic.naver?code=192806,https://movie-phinf.pstatic.net/20210901_206/1630476127597lC9ua_JPEG/movie_image.jpg?type=m77_110_2
282,레커닝,공포|드라마,2021,9.07,8.33,3,"흑사병이 유행하던 2 세기 초 유럽 흑사병으로 남편을 잃은 그레이스는 전염병을 퍼뜨렸다는 누명을 쓰게 되고 마녀로 지목되며 마녀재판에 회부된다. 지하 어두운 감옥에 갇힌 그레이스는 고문과 핍박 속에서도 진실만을 얘기한다. 그러나, 그레이스가 갇힌 감옥에는 너무나 끔찍하고 엄청난 비밀이 숨겨져 있는데...",,,https://movie.naver.com/movie/bi/mi/basic.naver?code=196279,https://movie-phinf.pstatic.net/20210824_81/1629780663645cMkJv_JPEG/movie_image.jpg?type=m77_110_2
283,레컨,전쟁|액션,2021,2.25,4.25,28,"  세계대전이 끝나갈 무렵 마지막 임무를 위해 전진하는 부대원들에게 매복, 저격수 그리고 지뢰가 기다린다. 산 위에 주둔한 독일군을 정찰하는 부대원들은 자실 임무인 것을 깨닫고, 마지막 전투를 준비하는데…",알렉산더 루드윅|프랑코 네로|샘 킬리,,https://movie.naver.com/movie/bi/mi/basic.naver?code=197484,https://movie-phinf.pstatic.net/20210208_112/1612748791504bs9H4_JPEG/movie_image.jpg?type=m77_110_2
284,로그 인 벨지움,다큐멘터리,2021,12.01,7.72,105,"팬데믹 선포로 벨기에 앤트워프 낯선 호텔에 고립된 배우 유태오, 영화라는 감수성이 통한 가상의 세계에서 찾은 진짜 유태오의 오프 더 레코드",,,https://movie.naver.com/movie/bi/mi/basic.naver?code=208462,https://movie-phinf.pstatic.net/20211126_228/1637893952425bhnVH_JPEG/movie_image.jpg?type=m77_110_2
285,로그북,다큐멘터리,2021,11.24,9.68,38,경력 3 년의 잠수사 황병주 해병대 출신 한재명 부산 사나이 백인탁 수중 장비를 챙긴 이들은 바다로 향한다 전쟁터를 방불케하는 바지선 오직     소리만이 적막을 깨는 그 곳 잠수사들은 무너진 벽과 뒤엉킨 격실을 뚫고 마지막까지 희망의 실마리를 찾아 나서는데… 그 어디에서 공개되지 않았던 이야기   그 첫 장을 세상에 펼치다!,,,https://movie.naver.com/movie/bi/mi/basic.naver?code=178504,https://movie-phinf.pstatic.net/20211109_273/1636433678028RVNtU_JPEG/movie_image.jpg?type=m77_110_2
286,로그시티,드라마|액션|범죄,2021,2.11,6.5,8,"두 마약 밀매 조직이 암투를 벌이고 있는 마르세유에 새로운 치안총감이 부임한다. 그 시각 많은 사람들이 모인 클럽에 테러 조직이 난입해 무차별적인 총격전이 벌어지고, 두 조직간의 사태를 더욱 악화시킨다. 이때 총격전에서 빠져 나오지 못한 조직원 한 명이 경찰의 조사를 받게 되고, 그 과정에서 경찰에 의해 살해 당하게 된다. 이 사건으로 부패한 경찰이 내부 정보를 마약 밀매 조직에 흘리고 있다는 사실이 밝혀지고, 경찰 내부에서는 서로를 의심하기 시작하는데…",래닉 가우트리|스타니슬라 메하르|데이비드 벨|장 르노,,https://movie.naver.com/movie/bi/mi/basic.naver?code=197451,https://movie-phinf.pstatic.net/20210111_248/1610345142246RSGNH_JPEG/movie_image.jpg?type=m77_110_2
287,로또쉐어,스릴러|액션|범죄,2021,11.24,5.67,39,"해마다 함께 여행을 떠나는 여섯 명의 친구들 이번 여행지에서는 또 어떤 즐거운 추억을 만들지 들뜬 설렘 속 갑자기 등장한 낯선 이방인 네 명과 조우한다. 그리고, 예상치 못한 거액의 상금에 덜컥 당첨된 로또 한장 하지만 로또의 행방이 묘연해지고 점차 그들 사이에는 기괴한 분위기가 감도는데... 우리 중, 범인이 있다!",최시형|김서지|차서하|김가희|유의태|이유진|이은비|명진현|최대훈|김번영,,https://movie.naver.com/movie/bi/mi/basic.naver?code=187420,https://movie-phinf.pstatic.net/20211026_145/1635217113150K3R7U_JPEG/movie_image.jpg?type=m77_110_2
288,로빈의 소원,다큐멘터리,2021,9.23,7.7,10,2       할리우드의 명배우이자 코미디언인 로빈 윌리엄스가 갑작스럽게 생을 마감했다. 특유의 익살스러운 연기로 관객을 울고 웃게 하며 꿈과 희망의 아이콘 같았던 배우였기에 전세계 영화 팬들은 충격이 더 컸다. 하지만 언론매체를 통해 알려진 무성한 소문과 다르게 그는 자신과의 싸움  하고 있었다. 그가 바라던 진짜 소원은 무엇이었는지 이제 그의 죽음에 둘러싸인 소문과 진실에 대한 그의 이야기가 밝혀진다!,로빈 윌리엄스|수잔 슈나이더 윌리엄스|숀 레비,,https://movie.naver.com/movie/bi/mi/basic.naver?code=206761,https://movie-phinf.pstatic.net/20210806_162/1628227397701dbgsL_JPEG/movie_image.jpg?type=m77_110_2
289,로스트 걸 & 러브호텔,드라마|스릴러,2021,3.24,6.25,8,일본의 승무원 학원에서 영어발음 교사로 일하는 마가렛은 술에 의존하며 삶의 갈피를 잡지 못하고 방황한다. 낯선 도시에서 잃어버린 자신을 찾으려는 그녀에게 ' 라는 일본 남자가 다가온다.   통해 사랑을 느끼며 조금씩 삶의 변화가 생기지만 그와의 사랑은 어쩐지 험난하고 위험해지는데...,알렉산드라 다드다리오|히라 타케히로,,https://movie.naver.com/movie/bi/mi/basic.naver?code=168052,https://movie-phinf.pstatic.net/20210302_44/16146703490423PMrN_JPEG/movie_image.jpg?type=m77_110_2
290,론 서바이버 : 아미 오브 원,액션,2021,2.18,4.89,18,"강력반 형사인 남편과 함께 한적한 시골 마을로 여행을 떠난 특전대원 브레너. 두 사람은 비를 피해 들어간 오두막에서 비밀의 방을 발견한다. 그 안에 가득한 것은 어마어마한 양의 무기들. 우연히 범죄조직의 구역에 발을 들인 부부는 미처 몸을 피하기도 전에 조직원들에게 붙잡혀 사살당한다. 다행히 살아남은 브레너는 죽은 남편을 위해 잔인한 복수를 꿈꾸고, 조직의 아지트에 몰래 침입한다. 하지만 뜻밖에도 그곳에서 감금된 여자들을 발견하고, 브레너는 그들을 구출하는 것과 동시에 혼자서 조직원 전체를 상대해야 하는데 ",엘렌 홀맨,,https://movie.naver.com/movie/bi/mi/basic.naver?code=201168,https://movie-phinf.pstatic.net/20201228_10/1609134078624IdrWG_JPEG/movie_image.jpg?type=m77_110_2
291,루카,애니메이션|모험|코미디,2021,6.17,9.02,1179,"이탈리아 리비에라의 아름다운 해변 마을, 바다 밖 세상이 궁금하지만, 두렵기도 한 호기심 많은 소년   자칭 인간세상 전문가   함께 모험을 감행하지만, 물만 닿으면 바다 괴물로 변신하는 비밀 때문에 아슬아슬하기만 하다. 새로운 친구   함께 젤라또와 파스타를 실컷 먹고 스쿠터 여행을 꿈꾸는 여름은 그저 즐겁기만 한데… 과연 이들은 언제까지 비밀을 감출 수 있을까? 함께라서 행복한 여름, 우리들의 잊지 못할 모험이 시작된다!",제이콥 트렘블레이|잭 딜런 그레이저|엠마 버만,사베리오 라이몬도|마야 루돌프|마르코 바리첼리|짐 개피건|샌디 마틴,https://movie.naver.com/movie/bi/mi/basic.naver?code=202903,https://movie-phinf.pstatic.net/20210603_104/1622684157296bKxr2_JPEG/movie_image.jpg?type=m77_110_2
292,리벤지 오브 인사이트,액션,2021,8.12,8.25,4,"예지력, 투시력, 사이코메트리와 같은 초능력과 함께 뛰어난 무술 실력을 겸비해 인정받는 대테러 요원   갑작스런 형의 사망 소식을 듣고   떠난다. 초능력을 발휘해 형사   함께 형의 죽음에 대한 비밀을 파헤치려 한다. 하지만 진실에 점점 가까워질수록 거대한 음모가 드러나는데…",켄 쳉|마델린 지마|토니 토드,,https://movie.naver.com/movie/bi/mi/basic.naver?code=201715,https://movie-phinf.pstatic.net/20210810_91/1628559335998eDSn7_JPEG/movie_image.jpg?type=m77_110_2
293,리스타트,액션,2021,3.11,6.87,326,"  매일 부활한다"" 늘 똑같은 아침   되면 일어나 정체 모를 킬러들과 숨막히는 추격전을 벌여야하는 남자   무한 타임루프 속에서 매일 죽고 살기를 반복하다 불현듯 자신의 숨겨진 액션 본능에 눈을 뜨게 되는데...   아침, 오늘부턴 내가 킬러가 된다!",프랭크 그릴로|멜 깁슨|나오미 왓츠|양자경|켄 정|애나벨 월리스,미도우 윌리암스|윌 사쏘,https://movie.naver.com/movie/bi/mi/basic.naver?code=182019,https://movie-phinf.pstatic.net/20210218_140/1613615349840eEK4k_JPEG/movie_image.jpg?type=m77_110_2
294,리스펙트,드라마,2021,9.08,7.53,38,내면의 폭풍을 이겨낸 강한 여자 세상을 바꾸고 영혼을 위로한 환상의 디바 아레사 프랭클린. 그녀의 노래가 울려 퍼진다!,제니퍼 허드슨,포레스트 휘태커|오드라 맥도날드|말론 웨이언스|마크 마론,https://movie.naver.com/movie/bi/mi/basic.naver?code=195599,https://movie-phinf.pstatic.net/20210813_4/1628817157758qmOuM_JPEG/movie_image.jpg?type=m77_110_2
295,리슨,드라마,2021,12.09,7.75,239,"가난한 이민자 출신으로 런던 교외에서   키우며 살아가는 벨라. 어느 날 청각장애를 가진 딸의 몸에 난 멍자국이 정부 당국의 오해를 부르고 벨라의 아이들은 강제입양 당할 상황에 처한다. 자신의 가난과 남편의 실직, 그리고 딸의 장애에도 침묵하던 사회 시스템은 한 순간에 나타나 그녀와 가족의 삶을 아프게 흔들어 놓는다.",루시아 모니즈|소피아 마일즈|메이지 슬라이,,https://movie.naver.com/movie/bi/mi/basic.naver?code=196689,https://movie-phinf.pstatic.net/20211105_142/1636075252750dT5Yb_JPEG/movie_image.jpg?type=m77_110_2
296,리얼생존예능 펀하우스,범죄|스릴러,2021,4.22,8.79,14,"우승상금   달러가 걸린 온라인 리얼생존예능에 세계 각지의 한물간 셀럽들이 모인다. 참가자     공간에서 자신의 모든 것을 여과없이 전세계 시청자들에게 보여주게 되고, 이를 본 시청자들은   투표를 통해 탈락자와 다음 도전과제를 정한다. 광란의   보내고 첫 번째 탈락자가 정해진 순간, 참가자들은 탈락이 곧 죽음을 의미하는 것임을 목격한다. 실체를 드러내는   지금부터 생존을 위한 질펀한 예능이 시작된다!",발테르 스카스가드,,https://movie.naver.com/movie/bi/mi/basic.naver?code=204211,https://movie-phinf.pstatic.net/20210414_171/1618384910683kHVeB_JPEG/movie_image.jpg?type=m77_110_2
